tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class
5458167261_5458167281_STOP335,2,1380.9,1380.9,1380.9,LPKIA A,Bunderan Pasar Modern Batununggal,tertiary,-6.961862800000008,107.625806,Jauh (>800m)
5458167262_5458167261_STOP335,1,1371.8,1371.8,1371.8,LPKIA A,Bunderan Pasar Modern Batununggal,tertiary,-6.961790200000004,107.6257236,Jauh (>800m)
5458167262_5458167305_STOP335,6,1254.1333333333334,1137.4,1371.8,LPKIA A,,tertiary,-6.960686545848432,107.62596435445458,Jauh (>800m)
5458167262_5458167305_STOP595,1,1090.9,1090.9,1090.9,Timur Simpang Batununggal,,tertiary,-6.959142096040538,107.62630444525183,Jauh (>800m)
5458167263_5353900365_STOP335,1,1134.9,1134.9,1134.9,LPKIA A,,tertiary,-6.9597280000000055,107.6235282,Jauh (>800m)
5458167263_5458167262_STOP335,7,1238.3714285714286,1134.9,1346.5,LPKIA A,Jalan Batununggal Indah II,tertiary,-6.960660083746354,107.62451309873397,Jauh (>800m)
5458167274_5458167300_STOP595,1,1042.2,1042.2,1042.2,Timur Simpang Batununggal,Bunderan 1-8,tertiary,-6.958710200000005,107.6264158,Jauh (>800m)
5458167274_7227417913_STOP334,2,818.1,793.0,843.2,Bangunan Mart A,Jalan Batununggal Indah I,tertiary,-6.9567186511823484,107.6268248702415,Jauh (>800m)
5458167274_7227417913_STOP595,4,967.725,893.3,1042.2,Timur Simpang Batununggal,Jalan Batununggal Indah I,tertiary,-6.958045522394633,107.62654831044013,Jauh (>800m)
5458167277_5458167300_STOP334,4,858.775,783.4,934.2,Bangunan Mart A,Jalan Batununggal Indah I,tertiary,-6.957087203249454,107.62681022115336,Jauh (>800m)
5458167277_5458167300_STOP595,2,1008.7,983.9,1033.5,Timur Simpang Batununggal,Jalan Batununggal Indah I,tertiary,-6.958413477852343,107.62653013208923,Jauh (>800m)
5458167277_7227417913_STOP334,1,783.4,783.4,783.4,Bangunan Mart A,Bunderan Elok,tertiary,-6.956424199999999,107.6269509,Sedang (400-800m)
5458167281_2500902333_STOP335,1,1386.3,1386.3,1386.3,LPKIA A,Bunderan Pasar Modern Batununggal,tertiary,-6.961918200000008,107.6257512,Jauh (>800m)
5458167298_5458167261_STOP335,5,1249.58,1156.2,1343.5,LPKIA A,,tertiary,-6.96062995910479,107.6260665401845,Jauh (>800m)
5458167298_5458167261_STOP595,2,1083.8,1059.0,1108.6,Timur Simpang Batununggal,,tertiary,-6.959082959282434,107.62639480950456,Jauh (>800m)
5458167298_5458167305_STOP595,1,1059.0,1059.0,1059.0,Timur Simpang Batununggal,Bunderan 1-8,tertiary,-6.958862000000001,107.6264419,Jauh (>800m)
5458167300_5458167298_STOP595,1,1043.8,1043.8,1043.8,Timur Simpang Batununggal,Bunderan 1-8,tertiary,-6.958726099999996,107.6264643,Jauh (>800m)
5458167305_5458167274_STOP595,1,1058.1,1058.1,1058.1,Timur Simpang Batununggal,Bunderan 1-8,tertiary,-6.958850099999991,107.6263692,Jauh (>800m)
5458168297_12806516351_STOP230,2,58.199999999999996,42.3,74.1,Bundaran Cibiru,Bunderan Cibiru,trunk_link,-6.934951880493484,107.7178468864017,Sangat Dekat (<200m)
5458168297_4427752879_STOP230,2,82.44999999999999,74.1,90.8,Bundaran Cibiru,Jalan Raya Cibiru,trunk,-6.934823519754278,107.71802298167735,Sangat Dekat (<200m)
5458169147_7284403242_STOP423,5,62.17999999999999,7.6,105.0,Universitas Bhakti Kencana,Jalan Soekarno-Hatta,secondary,-6.935633002965574,107.70992612591871,Sangat Dekat (<200m)
5458169147_9443702028_STOP423,1,105.0,105.0,105.0,Universitas Bhakti Kencana,,trunk_link,-6.935701400000005,107.7090245,Sangat Dekat (<200m)
5458169530_11106971273_STOP230,2,150.3,125.2,175.4,Bundaran Cibiru,Jalan Soekarno-Hatta,trunk,-6.9353635305729675,107.71623863732401,Sangat Dekat (<200m)
